,date,tournament,home_team,away_team,home_team_rating,away_team_rating,home_goals,away_goals,home_team_rating_change,away_team_rating_change,home_team_new_rating,away_team_new_rating,home_team_rank,away_team_rank,home_team_rank_change,away_team_rank_change,home_team_new_rank,away_team_new_rank,k,hadv,rdiff
186,May 29 2018,Friendly in Argentina,Argentina,Haiti,1984,1495,4,0,1,-1,1985,1494,5,84,0,0,5,84,20,100,589
187,May 29 2018,Friendly in Austria,Armenia,Malta,1464,1202,1,1,-6,6,1458,1208,89,157,0,2,89,159,20,0,262
188,May 29 2018,Friendly in Azerbaijan,Azerbaijan,Kyrgyzstan,1392,1245,3,0,7,-7,1399,1238,106,157,2,-4,108,153,20,100,247
189,May 29 2018,Friendly in Switzerland,Kosovo,Albania,1404,1596,3,0,26,-26,1430,1570,90,72,8,-4,98,68,20,0,-192
190,May 29 2018,COSAFA Cup in South Africa,Madagascar,Seychelles,1376,952,1,1,-17,17,1359,969,123,193,-4,1,119,194,40,0,424
191,May 29 2018,COSAFA Cup in South Africa,Mozambique,Comoros,1298,1042,3,0,13,-13,1311,1029,129,186,1,0,130,186,40,0,256
192,May 29 2018,Friendly in Panama,Panama,Northern Ireland,1668,1684,0,0,-2,2,1666,1686,48,44,0,1,48,45,20,100,84
193,May 29 2018,Friendly in Peru,Peru,Scotland,1907,1719,2,0,5,-5,1912,1714,10,39,0,0,10,39,20,100,288
194,May 30 2018,COSAFA Cup in South Africa,Angola,Mauritius,1241,1108,1,0,13,-13,1254,1095,145,180,3,-3,148,177,40,0,133
195,May 30 2018,Friendly in Austria,Austria,Russia,1725,1685,1,0,6,-6,1731,1679,33,44,1,1,34,45,20,100,140
196,May 30 2018,COSAFA Cup in South Africa,Botswana,Malawi,1296,1277,1,1,-1,1,1295,1278,133,139,0,1,133,140,20,0,19
197,May 30 2018,Friendly tournament in Niger,Central African Republic,Uganda,1316,1457,1,0,21,-21,1337,1436,116,104,6,-7,122,97,30,0,-141
198,May 30 2018,Baltic Cup in Estonia,Estonia,Lithuania,1504,1412,2,0,11,-11,1515,1401,78,108,2,-1,80,107,20,0,92
199,May 30 2018,Friendly in Japan,Japan,Ghana,1692,1616,0,2,-22,22,1670,1638,50,52,-3,1,47,53,20,100,176
200,May 31 2018,Friendly in Luxembourg,Luxembourg,Senegal,1325,1746,0,0,7,-7,1332,1739,122,35,1,-3,123,32,20,100,-321
201,May 31 2018,COSAFA Cup in South Africa,Madagascar,Comoros,1359,1029,1,0,5,-5,1364,1024,119,190,0,-2,119,188,40,0,330
202,May 31 2018,Friendly in Switzerland,Morocco,Ukraine,1711,1742,0,0,1,-1,1712,1741,43,30,-1,1,42,31,20,0,-31
203,May 31 2018,COSAFA Cup in South Africa,Mozambique,Seychelles,1311,969,2,1,5,-5,1316,964,128,194,1,0,129,194,40,0,342
204,May 31 2018,Friendly in Austria,Romania,Chile,1706,1874,3,2,14,-14,1720,1860,34,15,4,0,38,15,20,0,-168
205,May 31 2018,Friendly in Slovakia,Slovakia,Netherlands,1762,1907,1,1,1,-1,1763,1906,24,11,1,0,25,11,20,100,-45
206,Jun 1 2018,Friendly in Algeria,Algeria,Cape Verde,1525,1428,2,3,-15,15,1510,1443,88,93,-6,3,82,96,20,100,197
207,Jun 1 2018,COSAFA Cup in South Africa,Angola,Malawi,1254,1278,0,0,1,-1,1255,1277,146,142,1,-1,147,141,20,0,-24
208,Jun 1 2018,Friendly in Austria,Australia,Czechia,1713,1722,4,0,19,-19,1732,1703,27,47,7,-5,34,42,20,0,-9
209,Jun 1 2018,COSAFA Cup in South Africa,Botswana,Mauritius,1295,1095,6,0,20,-20,1315,1075,127,185,3,-4,130,181,40,0,200
210,Jun 1 2018,Friendly in Italy,Colombia,Egypt,1934,1640,0,0,-7,7,1927,1647,10,48,-1,2,9,50,20,0,294
211,Jun 1 2018,Friendly in France,France,Italy,1986,1901,3,1,8,-8,1994,1893,4,12,0,0,4,12,20,100,185
212,Jun 1 2018,Friendly in Austria,Georgia,Malta,1504,1208,1,0,3,-3,1507,1205,83,163,0,-2,83,161,20,0,296
213,Jun 1 2018,Friendly tournament in India,India,Taiwan,1148,994,5,0,11,-11,1159,983,169,194,1,-1,170,193,30,100,254
214,Jun 1 2018,Friendly in South Korea,South Korea,Bosnia and Herzegovina,1750,1724,1,3,-20,20,1730,1744,45,22,-9,7,36,29,20,100,126
215,Jun 1 2018,Friendly in Switzerland,Tunisia,Turkey,1655,1729,2,2,2,-2,1657,1727,49,39,0,-2,49,37,20,0,-74
216,Jun 2 2018,Friendly in Austria,Austria,Germany,1731,2092,2,1,16,-16,1747,2076,19,2,8,0,27,2,20,100,-261
217,Jun 2 2018,Friendly in Belgium,Belgium,Portugal,1930,1967,0,0,-2,2,1928,1969,8,6,0,0,8,6,20,100,63
218,Jun 2 2018,Friendly in the United States,El Salvador,Honduras,1457,1604,1,0,14,-14,1471,1590,86,69,2,-5,88,64,20,0,-147
219,Jun 2 2018,Friendly in England,England,Nigeria,1941,1696,2,1,2,-2,1943,1694,7,43,0,0,7,43,20,100,345
220,Jun 2 2018,Friendly in Iceland,Iceland,Norway,1787,1614,2,3,-17,17,1770,1631,24,53,-1,1,23,54,20,100,273
221,Jun 2 2018,Friendly in Ireland,Ireland,United States,1720,1763,2,1,8,-8,1728,1755,36,27,1,-1,37,26,20,100,57
222,Jun 2 2018,Friendly tournament in India,Kenya,New Zealand,1367,1515,2,1,21,-21,1388,1494,106,87,6,-4,112,83,30,0,-148
223,Jun 2 2018,Baltic Cup in Latvia,Latvia,Estonia,1343,1515,1,0,18,-18,1361,1497,119,85,1,-3,120,82,30,100,-72
224,Jun 2 2018,COSAFA Cup in South Africa,Lesotho,Eswatini,1258,1314,1,0,23,-23,1281,1291,134,141,5,-5,139,136,40,0,-56
225,Jun 2 2018,Friendly in Mexico,Mexico,Scotland,1858,1714,1,0,4,-4,1862,1710,14,42,1,-1,15,41,20,100,244
226,Jun 2 2018,Friendly in Montenegro,Montenegro,Slovenia,1617,1606,0,2,-20,20,1597,1626,70,52,-8,3,62,55,20,100,111
227,Jun 2 2018,COSAFA Cup in South Africa,Namibia,Zambia,1371,1470,0,0,6,-6,1377,1464,113,90,2,-1,115,89,40,0,-99
228,Jun 2 2018,Friendly tournament in Niger,Niger,Uganda,1292,1436,2,1,17,-17,1309,1419,126,108,5,-5,131,103,30,100,-44
229,Jun 2 2018,World Football Cup in England,Northern Cyprus,Tibet,1455,631,3,1,1,-1,1456,630,90,227,1,0,91,227,40,0,824
230,Jun 2 2018,Friendly in Sweden,Sweden,Denmark,1796,1842,0,0,-2,2,1794,1844,20,18,0,0,20,18,20,100,54
231,Jun 2 2018,Friendly in Thailand,Thailand,China,1396,1521,0,2,-14,14,1382,1535,117,68,-4,4,113,72,20,100,-25
232,Jun 3 2018,Friendly in Portugal,Andorra,Cape Verde,1025,1443,0,0,8,-8,1033,1435,185,98,1,-1,186,97,20,0,-418
233,Jun 3 2018,Friendly in Barbados,Barbados,Belize,1137,1168,0,0,-2,2,1135,1170,173,169,0,0,173,169,20,100,69
234,Jun 3 2018,COSAFA Cup in South Africa,Botswana,Zimbabwe,1315,1451,1,1,7,-7,1322,1444,122,95,4,0,126,95,40,0,-136
235,Jun 3 2018,Friendly in England,Brazil,Croatia,2131,1853,2,0,5,-5,2136,1848,1,17,0,0,1,17,20,0,278
236,Jun 3 2018,Friendly in Costa Rica,Costa Rica,Northern Ireland,1744,1686,3,0,10,-10,1754,1676,24,46,3,-1,27,45,20,100,158
237,Jun 3 2018,Friendly in Switzerland,Peru,Saudi Arabia,1912,1592,3,0,5,-5,1917,1587,10,67,0,-2,10,65,20,0,320
238,Jun 3 2018,COSAFA Cup in South Africa,South Africa,Madagascar,1561,1364,0,0,-14,14,1547,1378,71,111,-1,4,70,115,40,100,297
239,Jun 3 2018,Friendly in Spain,Spain,Switzerland,2048,1879,1,1,-6,6,2042,1885,3,14,0,0,3,14,20,100,269
240,Jun 3 2018,Friendly in France,Ukraine,Albania,1741,1570,4,1,10,-10,1751,1560,24,68,4,0,28,68,20,0,171
241,Jun 4 2018,Friendly in Austria,Armenia,Moldova,1458,1323,0,0,-4,4,1454,1327,94,123,-2,1,92,124,20,0,135
242,Jun 4 2018,Friendly in Austria,Chile,Serbia,1860,1770,1,0,7,-7,1867,1763,14,25,1,-1,15,24,20,0,90
243,Jun 4 2018,Friendly tournament in India,India,Kenya,1159,1388,3,0,36,-36,1195,1352,158,130,6,-9,164,121,30,100,-129
244,Jun 4 2018,Friendly in Italy,Italy,Netherlands,1893,1906,1,1,-2,2,1891,1908,12,11,0,0,12,11,20,100,87
245,Jun 4 2018,Friendly in Switzerland,Morocco,Slovakia,1712,1763,2,1,11,-11,1723,1752,38,29,1,-2,39,27,20,0,-51
246,Jun 5 2018,COSAFA Cup in South Africa,Botswana,Eswatini,1322,1291,2,0,27,-27,1349,1264,118,152,4,-8,122,144,40,0,31
247,Jun 5 2018,Friendly in Kazakhstan,Kazakhstan,Azerbaijan,1354,1399,3,0,15,-15,1369,1384,114,114,3,-3,117,111,20,100,55
248,Jun 5 2018,Baltic Cup in Lithuania,Lithuania,Latvia,1401,1361,1,1,-6,6,1395,1367,107,117,0,1,107,118,30,100,140
249,Jun 5 2018,Friendly in Luxembourg,Luxembourg,Georgia,1332,1507,1,0,12,-12,1344,1495,123,85,0,-2,123,83,20,100,-75
250,Jun 5 2018,Friendly tournament in Martinique,Martinique,French Guiana,1423,1376,3,0,16,-16,1439,1360,91,123,5,-3,96,120,30,100,147
251,Jun 5 2018,Friendly tournament in India,New Zealand,Taiwan,1494,983,1,0,2,-2,1496,981,81,193,1,0,82,193,30,0,511
252,Jun 5 2018,Friendly in Romania,Romania,Finland,1720,1604,2,0,7,-7,1727,1597,38,64,1,-3,39,61,20,100,216
253,Jun 5 2018,Friendly in Russia,Russia,Turkey,1679,1727,1,1,-1,1,1678,1728,44,36,0,1,44,37,20,100,52
254,Jun 5 2018,COSAFA Cup in South Africa,South Africa,Namibia,1547,1377,4,1,12,-12,1559,1365,68,123,1,-4,69,119,40,100,270
255,Jun 6 2018,Friendly in Belarus,Belarus,Hungary,1530,1583,1,1,-1,1,1529,1584,75,66,0,0,75,66,20,100,47
256,Jun 6 2018,Friendly in Belgium,Belgium,Egypt,1928,1647,3,0,4,-4,1932,1643,8,52,0,-1,8,51,20,100,381
257,Jun 6 2018,Friendly in Austria,Czechia,Nigeria,1703,1694,1,0,10,-10,1713,1684,40,43,1,0,41,43,20,0,9
258,Jun 6 2018,COSAFA Cup in South Africa,Lesotho,Zimbabwe,1281,1444,0,0,9,-9,1290,1435,134,99,2,-2,136,97,40,0,-163
259,Jun 6 2018,Friendly in Norway,Norway,Panama,1631,1666,1,0,8,-8,1639,1658,52,48,1,0,53,48,20,100,65
260,Jun 6 2018,COSAFA Cup in South Africa,Zambia,Madagascar,1464,1378,1,0,15,-15,1479,1363,83,124,3,-5,86,119,40,0,86
261,Jun 7 2018,Friendly in Austria,Bolivia,South Korea,1673,1730,0,0,2,-2,1675,1728,46,36,0,0,46,36,20,0,-57
262,Jun 7 2018,Friendly in England,England,Costa Rica,1943,1754,2,0,5,-5,1948,1749,7,30,0,-2,7,28,20,100,289
263,Jun 7 2018,Friendly tournament in Martinique,French Guiana,Guadeloupe,1360,1258,2,0,16,-16,1376,1242,110,157,5,-6,115,151,30,0,102
264,Jun 7 2018,Friendly in Iceland,Iceland,Ghana,1770,1638,2,2,-6,6,1764,1644,23,48,0,3,23,51,20,100,232
265,Jun 7 2018,Friendly tournament in India,India,New Zealand,1195,1496,1,2,-7,7,1188,1503,170,80,-3,1,167,81,30,100,-201
266,Jun 7 2018,Friendly in Portugal,Portugal,Algeria,1969,1510,3,0,1,-1,1970,1509,6,80,0,0,6,80,20,100,559
267,Jun 7 2018,Friendly in Uruguay,Uruguay,Uzbekistan,1890,1603,3,0,3,-3,1893,1600,11,58,1,0,12,58,20,100,387
268,Jun 8 2018,Friendly in Croatia,Croatia,Senegal,1848,1739,2,1,5,-5,1853,1734,17,35,0,-1,17,34,20,100,209
269,Jun 8 2018,Friendly in Germany,Germany,Saudi Arabia,2076,1587,2,1,1,-1,2077,1586,2,65,0,0,2,65,20,0,489
270,Jun 8 2018,Friendly in Russia,Iran,Lithuania,1788,1395,1,0,2,-2,1790,1393,21,107,0,0,21,107,20,0,393
271,Jun 8 2018,Friendly tournament in India,Kenya,Taiwan,1352,981,4,0,6,-6,1358,975,119,193,1,0,120,193,30,0,371
272,Jun 8 2018,COSAFA Cup in South Africa,Lesotho,Madagascar,1290,1363,1,0,24,-24,1314,1339,126,124,5,-2,131,122,40,0,-73
273,Jun 8 2018,Friendly in Poland,Poland,Chile,1831,1867,2,2,-2,2,1829,1869,19,15,0,0,19,15,20,100,64
274,Jun 8 2018,COSAFA Cup in South Africa,South Africa,Botswana,1559,1349,3,0,10,-10,1569,1339,67,122,1,0,68,122,40,100,310
275,Jun 8 2018,Friendly in Switzerland,Switzerland,Japan,1885,1670,2,0,4,-4,1889,1666,14,47,0,0,14,47,20,100,315
276,Jun 9 2018,Friendly in Denmark,Denmark,Mexico,1844,1862,2,0,12,-12,1856,1850,14,20,2,-2,16,18,20,100,82
277,Jun 9 2018,Friendly in Estonia,Estonia,Morocco,1497,1723,1,3,-10,10,1487,1733,88,32,-3,4,85,36,20,100,-126
278,Jun 9 2018,Friendly in Finland,Finland,Belarus,1597,1529,2,0,8,-8,1605,1521,55,77,3,-1,58,76,20,100,168
279,Jun 9 2018,Friendly in France,France,United States,1994,1755,1,1,-8,8,1986,1763,4,25,0,0,4,25,20,100,339
280,Jun 9 2018,Friendly in Hungary,Hungary,Australia,1584,1732,1,2,-9,9,1575,1741,66,31,0,2,66,33,20,100,-48
281,Jun 9 2018,Friendly in Latvia,Latvia,Azerbaijan,1367,1384,1,3,-19,19,1348,1403,122,101,-2,5,120,106,20,100,83
282,Jun 9 2018,Friendly in Austria,Serbia,Bolivia,1763,1675,5,1,14,-14,1777,1661,20,48,2,-1,22,47,20,0,88
283,Jun 9 2018,Friendly in Russia,Spain,Tunisia,2042,1657,1,0,2,-2,2044,1655,3,49,0,0,3,49,20,0,385
284,Jun 9 2018,Friendly in Sweden,Sweden,Peru,1794,1917,0,0,1,-1,1795,1916,20,10,0,0,20,10,20,100,-23
285,Jun 9 2018,Friendly in England,Tuvalu,Chagos Islands,758,798,6,1,22,-22,780,776,208,214,3,-2,211,212,20,0,-40
286,Jun 9 2018,COSAFA Cup in South Africa,Zimbabwe,Zambia,1435,1479,4,2,34,-34,1469,1445,81,104,8,-9,89,95,40,0,-44
287,Jun 10 2018,Friendly in Austria,Austria,Brazil,1747,2136,0,3,-6,6,1741,2142,35,1,-3,0,32,1,20,100,-289
288,Jun 10 2018,Friendly tournament in India,India,Kenya,1188,1358,2,0,27,-27,1215,1331,151,129,8,-5,159,124,30,100,-70
289,Jun 11 2018,Friendly in Belgium,Belgium,Costa Rica,1932,1749,4,1,6,-6,1938,1743,8,36,0,-4,8,32,20,100,283
290,Jun 11 2018,Friendly in Austria,Senegal,South Korea,1734,1728,2,0,15,-15,1749,1713,21,43,7,-3,28,40,20,0,6
291,Jun 12 2018,Friendly in Austria,Japan,Paraguay,1666,1746,4,2,18,-18,1684,1728,40,42,3,-6,43,36,20,0,-80
292,Jun 12 2018,Friendly in Poland,Poland,Lithuania,1829,1393,4,0,2,-2,1831,1391,19,110,0,-1,19,109,20,100,536
293,Jun 14 2018,World Cup in Russia,Russia,Saudi Arabia,1678,1586,5,0,30,-30,1708,1556,41,73,2,-4,43,69,40,0,92
294,Jun 15 2018,World Cup in Russia,Iran,Morocco,1790,1733,1,0,25,-25,1815,1708,19,49,1,-7,20,42,60,0,57
295,Jun 15 2018,World Cup in Russia,Portugal,Spain,1970,2044,3,3,6,-6,1976,2038,6,3,0,0,6,3,60,0,-74
296,Jun 15 2018,World Cup in Russia,Uruguay,Egypt,1893,1643,1,0,12,-12,1905,1631,12,56,0,-2,12,54,60,0,250
297,Jun 16 2018,World Cup in Russia,Argentina,Iceland,1985,1764,1,1,-17,17,1968,1781,7,20,-1,2,6,22,60,0,221
298,Jun 16 2018,World Cup in Russia,Croatia,Nigeria,1853,1684,2,0,25,-25,1878,1659,15,50,1,-3,16,47,60,0,169
299,Jun 16 2018,World Cup in Russia,Denmark,Peru,1856,1916,1,0,35,-35,1891,1881,8,20,4,-5,12,15,60,0,-60
300,Jun 16 2018,World Cup in Russia,France,Australia,1986,1741,2,1,12,-12,1998,1729,4,36,0,-2,4,34,60,0,245
301,Jun 17 2018,World Cup in Russia,Brazil,Switzerland,2142,1889,1,1,-19,19,2123,1908,1,6,0,4,1,10,50,100,353
302,Jun 17 2018,World Cup in Russia,Mexico,Germany,1850,2077,1,0,47,-47,1897,2030,8,4,5,-1,13,3,60,0,-227
303,Jun 17 2018,World Cup in Russia,Serbia,Costa Rica,1777,1743,1,0,27,-27,1804,1716,19,45,2,-7,21,38,60,0,34
304,Jun 18 2018,World Cup in Russia,Belgium,Panama,1938,1658,3,0,17,-17,1955,1641,8,56,0,-4,8,52,60,0,280
305,Jun 18 2018,World Cup in Russia,England,Tunisia,1948,1655,2,1,9,-9,1957,1646,7,47,0,1,7,48,60,0,293
306,Jun 18 2018,World Cup in Russia,Sweden,South Korea,1795,1713,1,0,23,-23,1818,1690,18,47,2,-4,20,43,60,0,82
307,Jun 19 2018,World Cup in Russia,Japan,Colombia,1684,1927,2,1,48,-48,1732,1879,22,23,11,-7,33,16,60,0,-243
308,Jun 19 2018,World Cup in Russia,Russia,Egypt,1708,1631,3,1,24,-24,1732,1607,25,58,8,-2,33,56,60,100,177
309,Jun 19 2018,World Cup in Russia,Senegal,Poland,1749,1831,2,1,37,-37,1786,1794,18,25,5,-3,23,22,60,0,-82
310,Jun 20 2018,World Cup in Russia,Portugal,Morocco,1976,1708,1,0,11,-11,1987,1697,5,43,0,0,5,43,60,0,268
311,Jun 20 2018,World Cup in Russia,Spain,Iran,2038,1815,1,0,13,-13,2051,1802,2,22,0,-1,2,21,60,0,223
312,Jun 20 2018,World Cup in Russia,Uruguay,Saudi Arabia,1905,1556,1,0,7,-7,1912,1549,7,71,2,-1,9,70,60,0,349
313,Jun 21 2018,World Cup in Russia,Australia,Denmark,1729,1891,1,1,13,-13,1742,1878,27,19,4,-3,31,16,60,0,-162
314,Jun 21 2018,World Cup in Russia,Croatia,Argentina,1878,1968,3,0,66,-66,1944,1902,-1,18,9,-6,8,12,60,0,-90
315,Jun 21 2018,World Cup in Russia,France,Peru,1998,1881,1,0,20,-20,2018,1861,4,21,0,-3,4,18,60,0,117
316,Jun 22 2018,World Cup in Russia,Brazil,Costa Rica,2123,1716,2,0,8,-8,2131,1708,1,46,0,-3,1,43,60,0,407
317,Jun 22 2018,World Cup in Russia,Nigeria,Iceland,1659,1781,2,0,60,-60,1719,1721,33,54,7,-15,40,39,60,0,-122
318,Jun 22 2018,World Cup in Russia,Switzerland,Serbia,1908,1804,2,1,21,-21,1929,1783,8,26,1,-3,9,23,60,0,104
319,Jun 23 2018,World Cup in Russia,Belgium,Tunisia,1955,1646,5,2,15,-15,1970,1631,5,58,1,-5,6,53,60,0,309
320,Jun 23 2018,World Cup in Russia,Germany,Sweden,2030,1818,2,1,14,-14,2044,1804,3,19,0,0,3,19,60,0,212
321,Jun 23 2018,World Cup in Russia,Mexico,South Korea,1897,1690,2,1,14,-14,1911,1676,9,45,2,0,11,45,60,0,207
322,Jun 24 2018,World Cup in Russia,Colombia,Poland,1879,1794,3,0,40,-40,1919,1754,5,29,5,-4,10,25,60,0,85
323,Jun 24 2018,World Cup in Russia,England,Panama,1957,1641,6,1,17,-17,1974,1624,5,57,1,-3,6,54,60,0,316
324,Jun 24 2018,World Cup in Russia,Japan,Senegal,1732,1786,2,2,5,-5,1737,1781,33,22,0,0,33,22,60,0,-54
325,Jun 25 2018,World Cup in Russia,Morocco,Spain,1697,2051,2,2,23,-23,1720,2028,34,4,5,-1,39,3,60,0,-354
326,Jun 25 2018,World Cup in Russia,Portugal,Iran,1987,1802,1,1,-15,15,1972,1817,7,18,-1,1,6,19,60,0,185
327,Jun 25 2018,World Cup in Russia,Russia,Uruguay,1732,1912,0,3,-41,41,1691,1953,54,5,-10,3,44,8,60,100,-80
328,Jun 25 2018,World Cup in Russia,Saudi Arabia,Egypt,1549,1607,2,1,35,-35,1584,1572,58,78,6,-11,64,67,60,0,-58
329,Jun 26 2018,World Cup in Russia,Argentina,Nigeria,1902,1719,2,1,16,-16,1918,1703,10,46,2,-3,12,43,60,0,183
330,Jun 26 2018,World Cup in Russia,Croatia,Iceland,1944,1721,2,1,13,-13,1957,1708,7,44,1,-3,8,41,60,0,223
331,Jun 26 2018,World Cup in Russia,Denmark,France,1878,2018,0,0,11,-11,1889,2007,18,4,-1,0,17,4,60,0,-140
332,Jun 26 2018,World Cup in Russia,Peru,Australia,1861,1742,2,0,30,-30,1891,1712,12,48,3,-9,15,39,60,0,119
333,Jun 27 2018,World Cup in Russia,Brazil,Serbia,2131,1783,2,0,11,-11,2142,1772,1,25,0,-2,1,23,60,0,348
334,Jun 27 2018,World Cup in Russia,Costa Rica,Switzerland,1708,1929,2,2,17,-17,1725,1912,35,14,3,-2,38,12,60,0,-221
335,Jun 27 2018,World Cup in Russia,South Korea,Germany,1676,2044,2,0,80,-80,1756,1964,5,12,20,-5,25,7,60,0,-368
336,Jun 27 2018,World Cup in Russia,Sweden,Mexico,1804,1911,3,0,68,-68,1872,1843,14,25,3,-6,17,19,60,0,-107
337,Jun 28 2018,World Cup in Russia,Belgium,England,1970,1974,1,0,30,-30,2000,1944,2,14,2,-5,4,9,60,0,-4
338,Jun 28 2018,World Cup in Russia,Colombia,Senegal,1919,1781,1,0,19,-19,1938,1762,10,29,0,-4,10,25,60,0,138
339,Jun 28 2018,World Cup in Russia,Poland,Japan,1754,1737,1,0,29,-29,1783,1708,16,51,5,-9,21,42,60,0,17
340,Jun 28 2018,World Cup in Russia,Tunisia,Panama,1631,1624,2,1,29,-29,1660,1595,44,68,4,-7,48,61,60,0,7
341,Jun 30 2018,World Cup in Russia,France,Argentina,2007,1918,4,3,22,-22,2029,1896,1,15,1,-2,2,13,60,0,89
342,Jun 30 2018,World Cup in Russia,Uruguay,Portugal,1953,1972,2,1,32,-32,1985,1940,2,13,3,-4,5,9,60,0,-19
343,Jul 1 2018,World Cup in Russia,Croatia,Denmark,1957,1889,1,1,-6,6,1951,1895,7,12,0,2,7,14,60,0,68
344,Jul 1 2018,World Cup in Russia,Russia,Spain,1691,2028,1,1,18,-18,1709,2010,39,3,3,0,42,3,60,100,-237
345,Jul 2 2018,World Cup in Russia,Belgium,Japan,2000,1708,3,2,9,-9,2009,1699,4,47,0,-2,4,45,60,0,292
346,Jul 2 2018,World Cup in Russia,Brazil,Mexico,2142,1843,2,0,14,-14,2156,1829,1,19,0,0,1,19,60,0,299
347,Jul 3 2018,World Cup in Russia,Colombia,England,1938,1944,1,1,1,-1,1939,1943,10,8,0,0,10,8,60,0,-6
348,Jul 3 2018,World Cup in Russia,Sweden,Switzerland,1872,1912,1,0,33,-33,1905,1879,7,23,5,-6,12,17,60,0,-40
349,Jul 5 2018,Friendly in Malaysia,Malaysia,Fiji,1053,1246,1,0,13,-13,1066,1233,182,160,1,-6,183,154,20,100,-93
350,Jul 6 2018,World Cup in Russia,Belgium,Brazil,2009,2156,2,1,42,-42,2051,2114,2,1,1,0,3,1,60,0,-147
351,Jul 6 2018,World Cup in Russia,France,Uruguay,2029,1985,2,0,39,-39,2068,1946,2,9,0,-2,2,7,60,0,44
352,Jul 7 2018,World Cup in Russia,England,Sweden,1943,1905,2,0,40,-40,1983,1865,2,24,3,-6,5,18,60,0,38
353,Jul 7 2018,World Cup in Russia,Russia,Croatia,1709,1951,2,2,12,-12,1721,1939,34,12,4,-3,38,9,40,0,-242
354,Jul 10 2018,World Cup in Russia,France,Belgium,2068,2051,1,0,29,-29,2097,2022,2,3,0,0,2,3,60,0,17
355,Jul 11 2018,World Cup in Russia,Croatia,England,1939,1983,2,1,34,-34,1973,1949,1,9,4,-2,5,7,60,0,-44
356,Jul 14 2018,World Cup in Russia,Belgium,England,2022,1949,2,0,36,-36,2058,1913,3,13,0,-3,3,10,60,0,73
357,Jul 15 2018,World Cup in Russia,France,Croatia,2097,1973,4,2,30,-30,2127,1943,0,9,1,-2,1,7,60,0,124
358,Jul 22 2018,Friendly in Liberia,Liberia,Sierra Leone,1309,1377,0,0,-1,1,1308,1378,134,114,-1,0,133,114,20,100,32
359,Jul 25 2018,Friendly in Sint Maarten,Sint Maarten,British Virgin Islands,866,607,2,3,-18,18,848,625,207,227,-2,1,205,228,20,100,359
360,Jul 27 2018,Friendly in Saint Barthélemy,British Virgin Islands,Saint Martin,625,849,0,0,6,-6,631,843,226,208,1,-2,227,206,20,0,-224
361,Jul 27 2018,Friendly in Saint Barthélemy,Saint Barthélemy,Anguilla,731,558,1,2,-17,17,714,575,217,231,-1,1,216,232,20,100,273
362,Jul 28 2018,Friendly in Saint Barthélemy,Saint Barthélemy,British Virgin Islands,714,631,3,4,-15,15,699,646,218,223,-1,2,217,225,20,100,183
363,Jul 28 2018,Friendly in Saint Barthélemy,Saint Martin,Anguilla,843,575,5,1,7,-7,850,568,202,232,2,0,204,232,20,0,268
364,Aug 4 2018,Friendly in Belize,Belize,Barbados,1170,1135,1,0,6,-6,1176,1129,170,173,0,0,170,173,20,100,135
365,Aug 4 2018,Friendly in Palestine,Palestine,Iraq,1390,1551,0,3,-14,14,1376,1565,118,68,-4,1,114,69,20,100,-61
366,Aug 11 2018,Friendly in Guadeloupe,Guadeloupe,Dominica,1242,1012,0,0,-7,7,1235,1019,156,189,-3,0,153,189,20,100,330
367,Aug 15 2018,Friendly in Guatemala,Guatemala,Cuba,1511,1298,3,0,5,-5,1516,1293,79,134,0,0,79,134,20,100,313
368,Aug 17 2018,Friendly in Grenada,Grenada,Jamaica,1102,1574,1,5,-4,4,1098,1578,176,64,-1,1,175,65,20,100,-372
369,Aug 18 2018,Friendly in Austria,Andorra,United Arab Emirates,1033,1532,0,0,9,-9,1042,1523,186,76,0,-1,186,75,20,0,-499
370,Aug 18 2018,Friendly in French Guiana,French Guiana,Suriname,1376,1245,0,4,-30,30,1346,1275,124,138,-5,5,119,143,20,100,231
371,Aug 18 2018,Friendly in Guatemala,Guatemala,Cuba,1516,1293,1,0,3,-3,1519,1290,77,138,1,-2,78,136,20,100,323
372,Aug 19 2018,Friendly in Afghanistan,Afghanistan,Palestine,1155,1376,0,0,3,-3,1158,1373,171,114,0,0,171,114,20,100,-121
373,Aug 20 2018,Friendly in Barbados,Barbados,Jamaica,1129,1578,2,2,8,-8,1137,1570,173,69,0,-2,173,67,20,100,-349
374,Aug 22 2018,Friendly in Sint Maarten,Sint Maarten,Anguilla,848,568,1,1,-8,8,840,576,207,232,-1,0,206,232,20,100,380
375,Aug 26 2018,Friendly in Anguilla,Anguilla,Saint Martin,576,850,1,2,-5,5,571,855,232,202,0,1,232,203,20,100,-174
376,Aug 26 2018,Friendly in Barbados,Barbados,Cuba,1137,1290,0,0,2,-2,1139,1288,173,136,0,0,173,136,20,100,-53
377,Aug 26 2018,Friendly in Lesotho,Lesotho,Eswatini,1314,1264,1,0,6,-6,1320,1258,123,145,4,0,127,145,20,100,150
378,Aug 27 2018,Friendly in Lesotho,Lesotho,Eswatini,1320,1258,2,0,8,-8,1328,1250,123,151,2,-3,125,148,20,100,162
379,Aug 29 2018,Friendly in Bangladesh,Bangladesh,Sri Lanka,805,688,0,1,-16,16,789,704,211,212,-1,4,210,216,20,100,217
