,date,tournament,home_team,away_team,home_team_rating,away_team_rating,home_goals,away_goals,home_team_rating_change,away_team_rating_change,home_team_new_rating,away_team_new_rating,home_team_rank,away_team_rank,home_team_rank_change,away_team_rank_change,home_team_new_rank,away_team_new_rank,k,hadv,rdiff
41,Mar 23 2018,Friendly in Austria,Austria,Slovenia,1709,1639,3,0,10,-10,1719,1629,34,54,3,-1,37,53,20,100,170
42,Mar 23 2018,Friendly in Azerbaijan,Azerbaijan,Belarus,1398,1497,0,1,-10,10,1388,1507,111,82,-1,0,110,82,20,100,1
43,Mar 23 2018,Friendly in Bulgaria,Bulgaria,Bosnia and Herzegovina,1620,1720,0,1,-10,10,1610,1730,60,31,-3,3,57,34,20,100,0
44,Mar 23 2018,Friendly in Curaçao,Curaçao,Bolivia,1268,1707,1,1,8,-8,1276,1699,137,47,3,-3,140,44,20,100,-339
45,Mar 23 2018,Friendly in Cyprus,Cyprus,Montenegro,1410,1614,0,0,3,-3,1413,1611,104,56,0,0,104,56,20,100,-104
46,Mar 23 2018,Friendly in Turkey,Finland,Macedonia,1602,1520,0,0,-2,2,1600,1522,65,78,0,0,65,78,20,0,82
47,Mar 23 2018,Friendly in France,France,Colombia,1989,1926,2,3,-14,14,1975,1940,7,7,-1,1,6,8,20,100,163
48,Mar 23 2018,Friendly in The Gambia,Gambia,Central African Republic,1277,1297,1,1,-2,2,1275,1299,143,130,-2,0,141,130,20,100,80
49,Mar 23 2018,Friendly in Germany,Germany,Spain,2109,2031,1,1,-5,5,2104,2036,2,3,0,0,2,3,20,100,178
50,Mar 23 2018,Friendly in Greece,Greece,Switzerland,1661,1866,0,1,-7,7,1654,1873,49,15,0,-1,49,14,20,100,-105
51,Mar 23 2018,Friendly in Guadeloupe,Guadeloupe,Trinidad and Tobago,1266,1420,0,1,-8,8,1258,1428,144,94,0,3,144,97,20,100,-54
52,Mar 23 2018,Friendly in Hungary,Hungary,Kazakhstan,1611,1340,2,3,-18,18,1593,1358,75,119,-9,1,66,120,20,100,371
53,Mar 23 2018,Friendly in Belgium,Japan,Mali,1706,1515,1,1,-5,5,1701,1520,42,79,0,0,42,79,20,0,191
54,Mar 23 2018,Friendly in the United States,Mexico,Iceland,1856,1813,3,0,15,-15,1871,1798,14,21,1,0,15,21,20,0,43
55,Mar 23 2018,Friendly in Italy,Morocco,Serbia,1691,1769,2,1,12,-12,1703,1757,37,26,4,-1,41,25,20,0,-78
56,Mar 23 2018,Friendly in the Netherlands,Netherlands,England,1896,1933,0,1,-12,12,1884,1945,13,7,-1,0,12,7,20,100,63
57,Mar 23 2018,Friendly in Norway,Norway,Australia,1581,1727,4,1,20,-20,1601,1707,62,45,2,-5,64,40,20,100,-46
58,Mar 23 2018,Friendly in the United States,Peru,Croatia,1882,1856,2,0,14,-14,1896,1842,8,20,2,-2,10,18,20,0,26
59,Mar 23 2018,Friendly in Poland,Poland,Nigeria,1842,1699,0,1,-16,16,1826,1715,19,33,0,5,19,38,20,100,243
60,Mar 23 2018,Friendly in Switzerland,Portugal,Egypt,1995,1657,2,1,3,-3,1998,1654,4,48,0,1,4,49,20,0,338
61,Mar 23 2018,Friendly in Russia,Russia,Brazil,1698,2114,0,3,-5,5,1693,2119,46,1,-1,0,45,1,20,100,-316
62,Mar 23 2018,Friendly in Spain,Saudi Arabia,Ukraine,1559,1738,1,1,5,-5,1564,1733,68,34,0,-1,68,33,20,0,-179
63,Mar 23 2018,Friendly in Scotland,Scotland,Costa Rica,1721,1745,0,1,-12,12,1709,1757,42,19,-3,6,39,25,20,100,76
64,Mar 23 2018,Friendly in Morocco,Senegal,Uzbekistan,1750,1610,1,1,-4,4,1746,1614,34,52,-3,3,31,55,20,0,140
65,Mar 23 2018,Friendly in Singapore,Singapore,Maldives,1058,939,3,2,4,-4,1062,935,183,198,0,0,183,198,20,100,219
66,Mar 23 2018,Friendly in Tahiti,Tahiti,New Caledonia,1217,1213,4,3,7,-7,1224,1206,156,162,1,-1,157,161,20,100,104
67,Mar 23 2018,Friendly in Tunisia,Tunisia,Iran,1622,1802,1,0,12,-12,1634,1790,51,22,1,0,52,22,20,100,-80
68,Mar 23 2018,Friendly in Turkey,Turkey,Ireland,1712,1731,1,0,8,-8,1720,1723,33,36,3,-1,36,35,20,100,81
69,Mar 23 2018,Friendly tournament in China,Uruguay,Czechia,1866,1713,2,0,13,-13,1879,1700,13,48,0,-5,13,43,30,0,153
70,Mar 24 2018,Friendly tournament in Zambia,Angola,Zimbabwe,1251,1477,2,2,9,-9,1260,1468,139,91,5,-1,144,90,30,0,-226
71,Mar 24 2018,Friendly in Armenia,Armenia,Estonia,1481,1514,0,0,-2,2,1479,1516,85,78,1,1,86,79,20,100,67
72,Mar 24 2018,Friendly in Botswana,Botswana,Lesotho,1252,1270,1,0,8,-8,1260,1262,140,143,4,0,144,143,20,100,82
73,Mar 24 2018,Friendly in Spain,Canada,New Zealand,1524,1525,1,0,10,-10,1534,1515,71,84,3,-4,74,80,20,0,-1
74,Mar 24 2018,Friendly in Georgia,Georgia,Lithuania,1482,1407,4,0,10,-10,1492,1397,82,111,2,-3,84,108,20,100,175
75,Mar 24 2018,Friendly in Israel,Israel,Romania,1534,1688,1,2,-8,8,1526,1696,79,44,-3,1,76,45,20,100,-54
76,Mar 24 2018,Friendly in France,Ivory Coast,Togo,1603,1383,2,2,-6,6,1597,1389,67,107,-2,2,65,109,20,0,220
77,Mar 24 2018,Friendly in Morocco,Kenya,Comoros,1397,1040,2,2,-8,8,1389,1048,109,186,0,0,109,186,20,0,357
78,Mar 24 2018,Friendly in France,Kosovo,Madagascar,1370,1368,1,0,10,-10,1380,1358,110,119,4,0,114,119,20,0,2
79,Mar 24 2018,Friendly in Mauritania,Mauritania,Guinea,1301,1472,2,0,18,-18,1319,1454,121,97,4,-3,125,94,20,100,-71
80,Mar 24 2018,Friendly in Northern Ireland,Northern Ireland,South Korea,1674,1759,2,1,10,-10,1684,1749,47,32,0,-4,47,28,20,100,15
81,Mar 24 2018,Friendly tournament in Iraq,Qatar,Syria,1487,1610,2,2,5,-5,1492,1605,83,65,1,-4,84,61,30,0,-123
82,Mar 24 2018,Friendly in Sweden,Sweden,Chile,1818,1860,1,2,-12,12,1806,1872,20,14,0,1,20,15,20,100,58
83,Mar 24 2018,Friendly in Uganda,Uganda,São Tomé and Príncipe,1461,1078,3,1,2,-2,1463,1076,90,181,1,-1,91,180,20,100,483
84,Mar 24 2018,Friendly tournament in Zambia,Zambia,South Africa,1497,1534,0,2,-27,27,1470,1561,95,65,-6,4,89,69,30,100,63
85,Mar 25 2018,Friendly in Barbados,Barbados,Bermuda,1138,1191,0,0,-1,1,1137,1192,173,164,0,0,173,164,20,100,47
86,Mar 25 2018,Friendly in France,Congo,Guinea-Bissau,1382,1291,2,0,11,-11,1393,1280,106,139,3,-2,109,137,20,0,91
87,Mar 25 2018,Friendly in the Dominican Republic,Dominican Republic,Saint Kitts and Nevis,1250,1255,2,1,7,-7,1257,1248,144,153,3,-3,147,150,20,100,95
88,Mar 25 2018,Friendly in Spain,Faroe Islands,Liechtenstein,1282,1155,3,0,11,-11,1293,1144,133,173,2,-1,135,172,20,0,127
89,Mar 25 2018,King's Cup in Thailand,Gabon,United Arab Emirates,1419,1552,1,0,20,-20,1439,1532,93,77,4,-3,97,74,30,0,-133
90,Mar 25 2018,Friendly in Gibraltar,Gibraltar,Latvia,1079,1358,1,0,15,-15,1094,1343,176,123,1,-2,177,121,20,100,-179
91,Mar 25 2018,Friendly in Jamaica,Jamaica,Antigua and Barbuda,1570,1210,1,1,-9,9,1561,1219,69,156,-1,2,68,158,20,100,460
92,Mar 25 2018,Friendly in Kuwait,Kuwait,Cameroon,1415,1645,1,3,-10,10,1405,1655,106,47,-2,2,104,49,20,100,-130
93,Mar 25 2018,Friendly in Martinique,Martinique,Trinidad and Tobago,1426,1428,0,0,-3,3,1423,1431,103,99,-2,-1,101,98,20,100,98
94,Mar 25 2018,Friendly in Nicaragua,Nicaragua,Cuba,1280,1296,3,3,-2,2,1278,1298,138,131,0,0,138,131,20,100,84
95,Mar 25 2018,King's Cup in Thailand,Thailand,Slovakia,1402,1756,2,3,-6,6,1396,1762,110,22,-2,2,108,24,30,100,-254
96,Mar 26 2018,Friendly in Albania,Albania,Norway,1609,1601,0,1,-13,13,1596,1614,70,47,-5,8,65,55,20,100,108
97,Mar 26 2018,Friendly in Hungary,Bulgaria,Kazakhstan,1610,1358,2,1,4,-4,1614,1354,53,121,2,-1,55,120,20,0,252
98,Mar 26 2018,Friendly tournament in China,China,Czechia,1542,1700,1,4,-22,22,1520,1722,82,29,-5,7,77,36,30,100,-58
99,Mar 26 2018,Friendly in Curaçao,Curaçao,Bolivia,1276,1699,1,0,17,-17,1293,1682,130,50,5,-3,135,47,20,100,-323
100,Mar 26 2018,Friendly in Turkey,Finland,Malta,1600,1206,5,0,4,-4,1604,1202,62,163,1,-1,63,162,20,0,394
101,Mar 26 2018,Friendly in Switzerland,Netherlands,Portugal,1884,1998,3,0,23,-23,1907,1975,8,6,2,-1,10,5,20,0,-114
102,Mar 26 2018,Friendly tournament in China,Uruguay,Wales,1879,1786,1,0,11,-11,1890,1775,13,23,0,0,13,23,30,0,93
103,Mar 27 2018,Asian Cup qualifier in Tajikistan,Afghanistan,Cambodia,1150,823,2,1,5,-5,1155,818,169,208,1,0,170,208,40,0,327
104,Mar 27 2018,Friendly in Armenia,Armenia,Lithuania,1479,1397,0,1,-15,15,1464,1412,94,103,-4,2,90,105,20,100,182
